,type,name,nhab,services,rating,price_night,district_id,airbnb_id
108,Habitacion privada,Beautiful Room in GRAN VIA next Pl. Espana,2 huespedes * 1 dormitorio * 1 cama * 1 bano privado,Wifi * Cocina * Aire acondicionado,4.83,64,9,34
109,Alojamiento entero: piso,Tranquilo apartamento zona de moda y cerca centro,2 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.73,98,9,245
110,Habitacion privada,Preciosa habitacion con un balcon,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.83,64,9,189
111,Habitacion de hotel,Double Eco-room (Double eco-room with private bathroom),2 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Aire acondicionado,4.61,58,9,84
112,Habitacion privada,The Room in BCN,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora,4.86,56,9,242
113,Alojamiento entero: piso,Increible piso de 4BR FUENTES DE MONTJUIC !!!,6 huespedes * 4 dormitorios * 6 camas * 2 banos,Wifi * Cocina * Lavadora * Aire acondicionado,4.48,146,9,153
114,Alojamiento entero: piso,Attic with terrace,4 huespedes * 2 dormitorios * 3 camas * 2 banos,Wifi * Cocina * Lavadora * Aire acondicionado,4.82,127,9,26
115,Alojamiento entero: piso,ATICO CON TERRAZA PRIVADA PLAZA ESPANA,2 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.79,111,9,260
116,Habitacion privada,KIDS PARADISE WITH A HUGE SUNNY TERRACE IN SANTS,2 huespedes * 1 dormitorio * 1 cama * 1 bano compartido,Wifi * Cocina * Lavadora * Aire acondicionado,4.87,53,9,154
117,Alojamiento entero: piso,Comodo y economico piso muy cerca del Gotico,4 huespedes * 2 dormitorios * 3 camas * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.58,108,9,77
118,Alojamiento entero: piso,OZONE DISINFECTED design apartment in the center,3 huespedes * 1 dormitorio * 1 cama * 1 bano,Wifi * Cocina * Lavadora * Aire acondicionado,4.84,107,9,182
